"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.scan","auc.weighted","acc.overall","acc.background","acc.dos","acc.scan"
1,1,0.747,0.757,0.754,0.74,0.756,0.922250316055626,0.948294198780265,0.958314333485332,0.873367152821814
1,2,0.702,0.703,0.744,0.653,0.702,0.918457648546144,0.932118729337358,0.955846774193548,0.597433460076046
1,3,0.751,0.761,0.783,0.734,0.761,0.92156862745098,0.960517799352751,0.957100070472163,0.973067173637516
1,4,0.761,0.718,0.831,0.677,0.72,0.924098671726755,0.951779513888889,0.951792667099286,0.672715736040609
1,5,0.794,0.8,0.856,0.749,0.799,0.923611111111111,0.940549556171199,0.97584598624634,0.723032994923858
2,1,0.755,0.743,0.813,0.682,0.742,0.923514538558786,0.961738002594034,0.950520963158682,0.972485768500949
2,2,0.745,0.743,0.774,0.683,0.741,0.922882427307206,0.961114711600778,0.988364576599871,0.722750316856781
2,3,0.721,0.717,0.739,0.708,0.717,0.918457648546144,0.932118729337358,0.969236405622044,0.687301587301587
2,4,0.767,0.765,0.786,0.761,0.765,0.921036007580543,0.960245636716225,0.957116324535679,0.972784810126582
2,5,0.761,0.751,0.775,0.734,0.751,0.925363693864643,0.962613784135241,0.988364576599871,0.807251908396946
3,1,0.748,0.733,0.779,0.707,0.734,0.924731182795699,0.962313190383366,0.976803352289734,0.639100126742712
3,2,0.746,0.728,0.824,0.657,0.729,0.924778761061947,0.952346580615942,0.962673847832015,0.723316391359593
3,3,0.736,0.706,0.775,0.704,0.709,0.920404295641188,0.959922430510666,0.957999468347701,0.972485768500949
3,4,0.749,0.726,0.778,0.716,0.728,0.924146649810367,0.950685283406622,0.974791576829093,0.759047619047619
3,5,0.731,0.759,0.743,0.732,0.757,0.920353982300885,0.948294198780265,0.939899193548387,0.759047619047619
4,1,0.723,0.701,0.777,0.684,0.703,0.920303605313093,0.948268981342911,0.970116054158607,0.695504664970314
4,2,0.744,0.724,0.806,0.689,0.726,0.924146649810367,0.961738002594034,0.988372093023256,0.80668358714044
4,3,0.755,0.771,0.769,0.756,0.77,0.926089703095389,0.948380124623485,0.897950710774545,0.808732694355698
4,4,0.764,0.761,0.776,0.746,0.761,0.921618204804046,0.947334333242433,0.973020215838273,0.848067173637516
4,5,0.802,0.786,0.868,0.721,0.786,0.927939317319848,0.96324007807417,0.990590525632706,0.848067173637516
5,1,0.734,0.733,0.732,0.726,0.732,0.919089759797724,0.922940985732815,0.959469941822883,0.572098922003805
5,2,0.772,0.774,0.804,0.77,0.775,0.923514538558786,0.963843648208469,0.92162184646742,0.787595785440613
5,3,0.751,0.751,0.809,0.693,0.75,0.925410872313527,0.944794508267056,0.989320388349515,0.652104591836735
5,4,0.784,0.793,0.812,0.776,0.793,0.922299431459255,0.939261031366295,0.94887583035258,0.723050095117311
5,5,0.736,0.708,0.798,0.644,0.709,0.925996204933586,0.962313190383366,0.989630589760207,0.848050095117311
6,1,0.763,0.725,0.816,0.701,0.728,0.925363693864643,0.950083542188805,0.989313471502591,0.873350253807107
6,2,0.734,0.729,0.768,0.691,0.729,0.921036007580543,0.947359904615909,0.946051497522086,0.972802024035421
6,3,0.72,0.717,0.762,0.66,0.716,0.920986093552465,0.947658167439324,0.988056810845707,0.572415979708307
6,4,0.71,0.713,0.705,0.719,0.713,0.917877447883765,0.958762886597938,0.969245107176142,0.722169512966477
6,5,0.775,0.758,0.843,0.69,0.758,0.924731182795699,0.924509803921569,0.954214239301959,0.695504664970314
7,1,0.782,0.763,0.827,0.737,0.765,0.927939317319848,0.963541666666667,0.979275276908896,0.80610090774752
7,2,0.774,0.813,0.858,0.734,0.81,0.918509159823121,0.916555678875324,0.931637574644006,0.674967907573813
7,3,0.714,0.683,0.756,0.661,0.685,0.921618204804046,0.947004285839237,0.958314333485332,0.973084230525649
7,4,0.728,0.723,0.744,0.705,0.723,0.921618204804046,0.947334333242433,0.97258250679813,0.873050095117311
7,5,0.785,0.767,0.834,0.744,0.769,0.925363693864643,0.962613784135241,0.976148650953372,0.773032994923858
8,1,0.725,0.705,0.785,0.668,0.706,0.920986093552465,0.960245636716225,0.987113402061856,0.773050095117311
8,2,0.762,0.764,0.797,0.745,0.765,0.922299431459255,0.950385080036243,0.961330023425754,0.639399704079476
8,3,0.717,0.693,0.726,0.695,0.694,0.921036007580543,0.946033541621777,0.988064516129032,0.805801687763713
8,4,0.772,0.73,0.838,0.694,0.732,0.925996204933586,0.950660779629238,0.989313471502591,0.89031746031746
8,5,0.757,0.757,0.829,0.697,0.757,0.925996204933586,0.956359601251546,0.988049095607235,0.688965201465201
9,1,0.753,0.782,0.809,0.722,0.78,0.93173198482933,0.968092105263158,0.94453781512605,0.829665356675003
9,2,0.741,0.748,0.77,0.718,0.747,0.919089759797724,0.947004285839237,0.986799742433999,0.597681067344346
9,3,0.768,0.749,0.834,0.706,0.751,0.926089703095389,0.95310124864278,0.974798893916541,0.807553575217484
9,4,0.742,0.726,0.789,0.694,0.727,0.920936116382037,0.935124214307094,0.974784250269687,0.472116603295311
9,5,0.77,0.746,0.784,0.746,0.747,0.923514538558786,0.961738002594034,0.961646112131549,0.80610090774752
10,1,0.725,0.73,0.733,0.734,0.731,0.919721871049305,0.944919440644475,0.969236405622044,0.873367152821814
10,2,0.746,0.74,0.816,0.701,0.742,0.920404295641188,0.962037637897469,0.938081975390755,0.700555170020819
10,3,0.764,0.748,0.804,0.718,0.748,0.923466160657812,0.948888708630759,0.961638776081781,0.973067173637516
10,4,0.748,0.734,0.807,0.675,0.734,0.925410872313527,0.951803657919468,0.976810076939695,0.723032994923858
10,5,0.764,0.744,0.789,0.726,0.745,0.925410872313527,0.961713173264114,0.989630589760207,0.972784810126582
11,1,0.754,0.745,0.788,0.724,0.746,0.920404295641188,0.960245636716225,0.972590420332356,0.638818565400844
11,2,0.746,0.726,0.772,0.695,0.727,0.924146649810367,0.961738002594034,0.976155576765749,0.72246835443038
11,3,0.74,0.728,0.776,0.715,0.73,0.921036007580543,0.96084142394822,0.956793743890518,0.773067173637516
11,4,0.765,0.744,0.804,0.724,0.746,0.925363693864643,0.962313190383366,0.975476123792186,0.873350253807107
11,5,0.73,0.723,0.735,0.707,0.723,0.92156862745098,0.934150833987106,0.972574583039699,0.873350253807107
12,1,0.756,0.755,0.798,0.717,0.754,0.921667719519899,0.960543337645537,0.972267839687195,0.848084230525649
12,2,0.732,0.745,0.786,0.691,0.744,0.917825537294564,0.924154413510391,0.928256573947408,0.615238095238095
12,3,0.792,0.797,0.817,0.786,0.797,0.923514538558786,0.962337662337662,0.961646112131549,0.672733037412809
12,4,0.806,0.806,0.859,0.771,0.806,0.932996207332491,0.967498358502955,0.989954633830201,0.800992317541613
12,5,0.689,0.653,0.709,0.64,0.655,0.919671094244149,0.959625322997416,0.957100070472163,NA
13,1,0.723,0.699,0.755,0.677,0.7,0.921667719519899,0.936699250260985,0.974086378737542,0.722733037412809
13,2,0.771,0.736,0.857,0.66,0.737,0.926675094816688,0.962638076673164,0.978679653679654,0.972485768500949
13,3,0.737,0.758,0.775,0.684,0.755,0.919038583175206,0.946305285868393,0.954516129032258,0.672715736040609
13,4,0.736,0.735,0.739,0.739,0.735,0.919721871049305,0.946680661243768,0.939576612903226,0.873367152821814
13,5,0.762,0.752,0.817,0.713,0.753,0.929203539823009,0.965663832570307,0.947808974022566,0.8507343550447
14,1,0.75,0.76,0.76,0.739,0.759,0.921618204804046,0.947658167439324,0.958314333485332,0.848067173637516
14,2,0.75,0.723,0.808,0.691,0.725,0.925363693864643,0.962012987012987,0.988680465717982,0.89031746031746
14,3,0.756,0.765,0.804,0.733,0.765,0.925996204933586,0.964728935336381,0.930243947514323,0.808429118773946
14,4,0.746,0.755,0.787,0.709,0.754,0.922299431459255,0.961139896373057,0.973028139596704,0.773067173637516
14,5,0.752,0.714,0.791,0.675,0.715,0.924826279216677,0.962337662337662,0.951806545690214,0.972784810126582
15,1,0.733,0.733,0.793,0.696,0.734,0.9146110056926,0.921787324073222,0.948484198484199,0.472151898734177
15,2,0.726,0.718,0.737,0.687,0.717,0.924826279216677,0.951502673024129,0.989010989010989,0.751094169137371
15,3,0.725,0.746,0.745,0.688,0.743,0.924778761061947,0.962037637897469,0.975483250240532,0.848067173637516
15,4,0.784,0.76,0.859,0.702,0.762,0.924194567277322,0.962337662337662,0.95148250162022,0.806118143459916
15,5,0.754,0.741,0.78,0.727,0.742,0.922833649588868,0.949493189737092,0.974071336167067,0.723015873015873
16,1,0.742,0.728,0.775,0.709,0.729,0.920404295641188,0.960245636716225,0.987113402061856,0.672750316856781
16,2,0.773,0.785,0.854,0.731,0.785,0.928526249209361,0.967784352399737,0.947801428371377,0.714419266618295
16,3,0.749,0.739,0.791,0.718,0.74,0.924194567277322,0.962037637897469,0.974086378737542,0.830493110949964
16,4,0.748,0.736,0.834,0.659,0.736,0.92156862745098,0.949493189737092,0.959462206616152,0.639365079365079
16,5,0.774,0.766,0.79,0.747,0.766,0.926042983565108,0.962337662337662,0.976155576765749,0.973384030418251
17,1,0.771,0.769,0.815,0.726,0.769,0.924146649810367,0.939561413878709,0.976155576765749,0.723032994923858
17,2,0.711,0.715,0.717,0.71,0.715,0.916561314791403,0.942284894240968,0.946756970535891,0.873050095117311
17,3,0.801,0.815,0.871,0.772,0.815,0.924731182795699,0.962313190383366,0.974784250269687,0.806666666666667
17,4,0.729,0.756,0.746,0.731,0.754,0.917877447883765,0.958762886597938,0.964916559691913,0.890350877192982
17,5,0.818,0.796,0.888,0.736,0.797,0.933628318584071,0.959143670608848,0.951029726959277,0.883947688212488
18,1,0.744,0.735,0.777,0.706,0.735,0.921618204804046,0.960245636716225,0.988056810845707,0.72246835443038
18,2,0.781,0.776,0.822,0.769,0.778,0.924242424242424,0.951202079272255,0.988695090439277,0.751111111111111
18,3,0.742,0.728,0.771,0.689,0.728,0.922201138519924,0.961413748378729,0.946359223300971,0.806083650190114
18,4,0.708,0.729,0.746,0.652,0.726,0.920303605313093,0.926754770617232,0.932146709816613,0.687284443637684
18,5,0.742,0.73,0.792,0.697,0.73,0.922882427307206,0.96084142394822,0.973343213254294,0.973084230525649
19,1,0.731,0.732,0.757,0.698,0.731,0.922250316055626,0.96084142394822,0.97179435483871,0.873367152821814
19,2,0.744,0.71,0.81,0.652,0.711,0.924778761061947,0.952346580615942,0.964623865110246,0.639382402707276
19,3,0.708,0.69,0.766,0.631,0.69,0.920303605313093,0.946978714465761,0.970967741935484,0.723015873015873
19,4,0.762,0.738,0.806,0.711,0.74,0.924826279216677,0.961738002594034,0.977752997374332,NA
19,5,0.742,0.734,0.76,0.746,0.736,0.921618204804046,0.947970154710271,0.970124570446735,0.862824044642226
20,1,0.778,0.751,0.815,0.737,0.753,0.924826279216677,0.961738002594034,0.977130589760207,0.972503160556258
20,2,0.757,0.766,0.775,0.756,0.766,0.920986093552465,0.959948320413437,0.987113402061856,0.848067173637516
20,3,0.765,0.75,0.817,0.71,0.751,0.927307206068268,0.964751958224543,0.976810076939695,0.700856431919449
20,4,0.723,0.736,0.749,0.685,0.733,0.918457648546144,0.931795314072158,0.928256573947408,0.97246835443038
20,5,0.709,0.696,0.718,0.677,0.696,0.922201138519924,0.961413748378729,0.941625557904628,0.89031746031746
