"Repetition","Fold","auc.multiclass", "auc.background","auc.dos","auc.scan","auc.weighted","acc.overall","acc.background","acc.dos","acc.scan"
19,2,0.976,0.975,0.964,1,0.975,0.994198093659345,0.997443544951001,0.997051390058972,0.962962962962963
19,1,0.988,0.991,0.991,0.998,0.991,0.996681874740771,0.998292058070026,0.998520710059172,0.999790532048597
19,4,0.989,0.993,0.991,1,0.993,0.993778515138947,0.996808510638298,0.997469422184732,0.999372384937238
19,3,0.978,0.996,0.998,0.977,0.996,0.996268656716418,0.998080204778157,0.998732037193576,0.999372384937238
20,1,0.989,0.992,0.987,1,0.992,0.994610281923715,0.997231686541738,0.998100464330941,0.999163529903806
20,5,0.961,0.975,0.981,0.961,0.975,0.995439469320066,0.998080204778157,0.998100464330941,0.959581064097193
19,5,0.971,0.977,0.983,0.969,0.977,0.995854063018242,0.998080204778157,0.998521335023236,0.977632991792091
20,2,0.987,0.986,0.982,1,0.987,0.997096640398175,0.998504912430585,0.998520710059172,1
1,3,0.978,0.982,0.978,0.997,0.982,0.992951907131012,0.996597192683964,0.997051390058972,0.977632991792091
1,4,0.962,0.971,0.977,0.969,0.971,0.995024875621891,0.997443544951001,0.998100464330941,0.999372384937238
1,2,0.997,0.999,1,0.999,0.999,0.996270203066722,0.991560467986141,0.987882412186831,0.979790619765494
1,1,0.978,0.991,0.989,1,0.991,0.994610281923715,0.990191897654584,0.985774562989753,0.979790532048597
2,1,0.977,0.983,0.974,0.995,0.983,0.994608046453754,0.997231686541738,0.998099662162162,0.999163529903806
2,2,0.991,0.991,0.988,1,0.991,0.995441359303771,0.998080204778157,0.997680303669338,0.962962962962963
2,5,0.967,0.979,0.986,0.968,0.979,0.995022812111157,0.997654584221748,0.997889404812157,0.97874773076386
2,3,0.988,0.991,0.995,0.996,0.991,0.995024875621891,0.997443544951001,0.998100464330941,0.999372384937238
2,4,0.98,0.986,0.981,0.996,0.986,0.995854063018242,0.966461803720904,0.969741136607121,0.961328905796634
1,5,0.989,0.99,0.988,0.999,0.99,0.996265560165975,0.998079385403329,0.998730964467005,0.999372122226873
20,4,0.984,0.989,0.986,0.995,0.989,0.995439469320066,0.998080204778157,0.99789029535865,0.961328905796634
12,1,0.997,0.998,0.998,1,0.998,0.997097844112769,0.998718496369073,0.998521335023236,0.980769230769231
11,3,0.979,0.981,0.971,1,0.981,0.997096640398175,0.998505550811272,0.998731501057083,0.999790619765494
9,5,0.974,0.983,0.996,0.969,0.983,0.995022812111157,0.990078826645991,0.987650519349205,0.999163529903806
20,3,0.981,0.993,0.995,0.996,0.993,0.994195688225539,0.997020008514261,0.997889404812157,0.999163879598662
11,2,0.985,0.994,0.998,0.994,0.994,0.994612515540821,0.997231686541738,0.998310810810811,0.998955286251567
11,1,0.994,0.998,0.999,0.998,0.998,0.996681874740771,0.998292058070026,0.998731501057083,0.999581239530988
10,1,0.988,0.995,0.993,1,0.995,0.993369249896395,0.996808510638298,0.996842105263158,0.979790619765494
12,3,0.981,0.988,0.984,0.995,0.988,0.995024875621891,0.997655583972719,0.99789029535865,0.978747906197655
11,5,0.996,0.999,0.997,1,0.999,0.996268656716418,0.998505550811272,0.998100464330941,0.962962962962963
11,4,0.955,0.962,0.956,0.971,0.962,0.994610281923715,0.997231686541738,0.997680303669338,0.999581414817915
10,3,0.969,0.976,0.98,0.968,0.976,0.995439469320066,0.997655583972719,0.998310810810811,0.999372384937238
9,4,0.978,0.984,0.977,0.993,0.984,0.996683250414594,0.998292787025181,0.998521335023236,0.999790619765494
9,3,0.991,0.992,0.989,1,0.992,0.996270203066722,0.998292787025181,0.998732037193576,0.977633254502456
10,5,0.976,0.985,0.984,0.989,0.985,0.994608046453754,0.997230507030251,0.997889404812157,0.999372122226873
12,2,0.985,0.989,0.987,0.998,0.989,0.995441359303771,0.997867803837953,0.998310810810811,0.977633254502456
10,4,0.98,0.984,0.978,0.997,0.984,0.993363749481543,0.997020008514261,0.997259696458685,0.955893598426917
10,2,0.982,0.988,0.983,1,0.988,0.994610281923715,0.990191897654584,0.985274300233513,0.980769230769231
3,1,0.989,0.989,0.985,1,0.989,0.997096640398175,0.998505550811272,0.998520710059172,1
16,1,0.944,0.96,0.962,0.959,0.96,0.993360995850622,0.996807151979566,0.997888513513513,0.972429505382025
6,2,0.99,0.996,0.995,0.997,0.996,0.995439469320066,0.997867803837953,0.998521335023236,0.976435907189045
12,5,0.964,0.972,0.977,0.974,0.972,0.994610281923715,0.997231686541738,0.99789029535865,0.999372384937238
18,5,0.979,0.981,0.972,1,0.981,0.994610281923715,0.997230507030251,0.997679324894515,0.999581414817915
4,1,0.992,0.994,0.992,1,0.994,0.996268656716418,0.998080204778157,0.998521335023236,0.999581414817915
16,5,0.992,0.993,0.991,1,0.993,0.996684624948197,0.998292787025181,0.998732037193576,0.999581589958159
8,3,0.988,0.994,0.992,0.998,0.994,0.996681874740771,0.998505550811272,0.998731501057083,0.977842109096206
9,2,0.979,0.977,0.967,1,0.977,0.99419328079635,0.990190897050583,0.98527323247916,0.961328817932592
18,1,0.987,0.989,0.986,1,0.989,0.994610281923715,0.997443544951001,0.997260851243152,0.980769230769231
15,4,0.979,0.994,0.994,0.985,0.994,0.994198093659345,0.997231686541738,0.997680303669338,0.977633254502456
8,1,0.957,0.967,0.97,0.971,0.967,0.993366500829187,0.974840085287846,0.975161240786241,0.977632991792091
13,4,0.963,0.975,0.971,0.969,0.975,0.995854063018242,0.984615384615385,0.977897631133672,0.978747906197655
17,4,0.978,0.988,0.998,0.97,0.988,0.993781094527363,0.996808510638298,0.998100464330941,0.99874634350188
13,2,0.984,0.991,0.997,0.989,0.991,0.996268656716418,0.998080204778157,0.998732037193576,0.999372384937238
18,4,0.988,0.997,0.998,0.994,0.997,0.995024875621891,0.997867803837953,0.99789029535865,0.959581064097193
5,4,0.984,0.992,0.989,1,0.992,0.994610281923715,0.997231686541738,0.997260851243152,1
14,1,0.995,0.996,0.996,1,0.996,0.995854063018242,0.997867803837953,0.998310810810811,0.999581414817915
7,3,0.992,0.993,0.99,1,0.993,0.994610281923715,0.997655583972719,0.997680303669338,0.959581064097193
17,1,0.972,0.969,0.957,1,0.969,0.993781094527363,0.996808510638298,0.997051390058972,0.999790619765494
14,4,0.974,0.986,0.998,0.968,0.986,0.994610281923715,0.990191897654584,0.987198986058302,0.976435907189045
17,2,0.997,0.998,0.999,0.999,0.998,0.997097844112769,0.998505550811272,0.998732037193576,0.999790619765494
14,5,0.979,0.985,0.981,1,0.985,0.994612515540821,0.997443544951001,0.997470489038786,0.979790619765494
18,3,0.975,0.984,0.99,0.987,0.984,0.996267109083368,0.998080204778157,0.998942470389171,0.999163529903806
6,3,0.967,0.975,0.983,0.969,0.975,0.994610281923715,0.997231686541738,0.99789029535865,0.999372384937238
15,5,0.971,0.974,0.966,1,0.974,0.992537313432836,0.996386054421769,0.996632996632997,0.978747906197655
6,5,0.974,0.97,0.961,0.999,0.97,0.993778515138947,0.996808510638298,0.997050147492625,0.999790619765494
17,5,0.969,0.977,0.968,0.998,0.977,0.995439469320066,0.997655583972719,0.998100464330941,0.999581414817915
16,2,0.975,0.981,0.981,0.991,0.981,0.995024875621891,0.997655583972719,0.99789029535865,0.978747906197655
4,2,0.993,0.993,0.99,0.999,0.993,0.997512437810945,0.998718496369073,0.998942917547569,0.999790619765494
7,5,0.962,0.97,0.979,0.967,0.97,0.994610281923715,0.997231686541738,0.997680303669338,0.999581414817915
8,4,0.992,0.995,1,0.996,0.995,0.997512437810945,0.998718496369073,0.999153976311337,0.999581414817915
13,3,0.997,0.999,0.998,0.998,0.999,0.99378367177787,0.997020008514261,0.997051390058972,0.979790619765494
7,1,0.978,0.987,0.979,0.997,0.987,0.994608046453754,0.97643558918655,0.96548855593345,0.999790532048597
6,1,0.992,0.994,0.992,1,0.994,0.997512437810945,0.998717948717949,0.998942470389171,0.999790619765494
16,3,0.988,0.99,0.985,1,0.99,0.995024875621891,0.997867803837953,0.997680303669338,0.961328905796634
15,2,0.992,0.992,0.985,1,0.992,0.996681874740771,0.998504912430585,0.998310097169413,0.980769230769231
13,1,0.987,0.988,0.981,1,0.988,0.995852343425964,0.997866894197952,0.998099662162162,0.999790532048597
5,1,0.972,0.988,0.999,0.961,0.988,0.993775933609959,0.989416826513214,0.985772602960103,0.97664458656921
18,2,0.977,0.984,0.992,0.982,0.985,0.996268656716418,0.998080204778157,0.998521335023236,0.999581414817915
3,2,0.984,0.993,0.999,0.991,0.993,0.99419328079635,0.997018739352641,0.998099662162162,0.998954412379757
7,4,0.995,0.999,0.998,1,0.999,0.995024875621891,0.997443544951001,0.99789029535865,0.999581414817915
13,5,0.976,0.987,0.983,0.992,0.987,0.992948983824139,0.996597192683964,0.997050147492625,0.976644849499601
3,3,0.992,0.998,0.997,0.997,0.997,0.99378367177787,0.997020008514261,0.997051390058972,0.979790619765494
8,2,0.991,0.996,0.983,1,0.996,0.995024875621891,0.997442455242967,0.997679324894515,0.999790619765494
14,2,0.97,0.976,0.971,0.993,0.976,0.995854063018242,0.997867803837953,0.998310810810811,0.999581414817915
3,4,0.959,0.969,0.971,0.967,0.969,0.995024875621891,0.997443544951001,0.998310810810811,0.999163529903806
16,4,0.997,0.999,0.999,1,0.999,0.994610281923715,0.989866697667209,0.985274300233513,1
14,3,0.986,0.986,0.981,1,0.986,0.994605809128631,0.983159190234591,0.975159455928687,0.978957110924839
12,4,0.99,0.997,0.999,0.992,0.997,0.996680497925311,0.998292058070026,0.998730964467005,0.999581239530988
17,3,0.995,0.999,0.998,0.999,0.999,0.995022812111157,0.991462019983147,0.98652398509813,0.925716194382302
4,5,0.964,0.98,0.97,0.968,0.98,0.993366500829187,0.997443544951001,0.997051390058972,0.925506638714186
3,5,0.977,0.975,0.964,1,0.975,0.994195688225539,0.997655583972719,0.997051390058972,0.946428571428571
8,5,0.986,0.989,0.986,1,0.989,0.994610281923715,0.997655583972719,0.997680303669338,0.959581064097193
9,1,0.991,0.997,0.997,0.998,0.997,0.993366500829187,0.996597192683964,0.997051390058972,0.999581414817915
4,3,0.982,0.985,0.982,0.998,0.985,0.994610281923715,0.997231686541738,0.997679324894515,0.999581589958159
6,4,0.985,0.996,0.995,0.996,0.996,0.994195688225539,0.997443544951001,0.997260851243152,0.961328905796634
5,3,0.994,0.996,0.995,1,0.996,0.994610281923715,0.997443544951001,0.997470489038786,0.979790532048597
5,2,0.975,0.973,0.965,0.999,0.973,0.995855781185247,0.998080204778157,0.998521335023236,0.977633254502456
5,5,0.981,0.983,0.978,0.998,0.983,0.996268656716418,0.998080204778157,0.998732037193576,0.999372384937238
7,2,0.986,0.993,0.993,0.996,0.993,0.994610281923715,0.990833008591735,0.987439817707376,0.933945438331483
15,1,0.977,0.977,0.97,0.999,0.977,0.995022812111157,0.997655583972719,0.997679324894515,0.978957198715263
15,3,0.973,0.987,1,0.973,0.988,0.994610281923715,0.997443544951001,0.998100464330941,0.976435907189045
4,4,0.971,0.979,0.983,0.971,0.979,0.995022812111157,0.997654584221748,0.998099662162162,0.9776327288617
